source,target,weight,type
IT,사업,37,undirected
IT,기술,35,undirected
IT,혁신,29,undirected
IT,성장,27,undirected
IT,고객,23,undirected
IT,회사,21,undirected
IT,역량,19,undirected
IT,기반,17,undirected
IT,기업,15,undirected
IT,조직,15,undirected
IT,서비스,13,undirected
IT,경영,13,undirected
IT,중심,12,undirected
IT,적극,12,undirected
IT,방식,11,undirected
IT,디지털,11,undirected
IT,주도,11,undirected
IT,IT,11,undirected
IT,실행,11,undirected
IT,추진,10,undirected
IT,변화,10,undirected
IT,환경,10,undirected
IT,사업부,9,undirected
IT,강화,9,undirected
IT,미래,8,undirected
IT,참여,8,undirected
IT,가치,8,undirected
IT,전환,8,undirected
IT,지속,7,undirected
IT,전략,7,undirected
