source,target,weight,type
건설업,회사,109,undirected
건설업,사업,83,undirected
건설업,시장,69,undirected
건설업,성장,58,undirected
건설업,수주,54,undirected
건설업,노력,50,undirected
건설업,경영,50,undirected
건설업,해외,46,undirected
건설업,지속,41,undirected
건설업,관리,39,undirected
건설업,수익,39,undirected
건설업,강화,38,undirected
건설업,국내,38,undirected
건설업,환경,38,undirected
건설업,변화,37,undirected
건설업,건설,35,undirected
건설업,역량,35,undirected
건설업,미래,35,undirected
건설업,현장,34,undirected
건설업,프로젝트,33,undirected
건설업,경쟁력,31,undirected
건설업,안전,30,undirected
건설업,확대,28,undirected
건설업,창출,27,undirected
건설업,확보,27,undirected
건설업,가치,26,undirected
건설업,발전,25,undirected
건설업,조직,24,undirected
건설업,업무,24,undirected
건설업,기업,23,undirected
