source,target,weight,type
바이오,글로벌,61,undirected
바이오,경영,56,undirected
바이오,혁신,40,undirected
바이오,성장,38,undirected
바이오,신약,37,undirected
바이오,기업,37,undirected
바이오,도전,31,undirected
바이오,개발,29,undirected
바이오,강화,29,undirected
바이오,가치,28,undirected
바이오,미래,26,undirected
바이오,목표,23,undirected
바이오,도약,21,undirected
바이오,사업,19,undirected
바이오,변화,19,undirected
바이오,회사,19,undirected
바이오,경쟁력,17,undirected
바이오,비전,15,undirected
바이오,강국,15,undirected
바이오,임상,14,undirected
바이오,창조,14,undirected
바이오,고객,14,undirected
바이오,달성,13,undirected
바이오,인재,13,undirected
바이오,환경,13,undirected
바이오,시장,13,undirected
바이오,내실,13,undirected
바이오,확대,13,undirected
바이오,성과,13,undirected
바이오,역량,13,undirected
