source,target,weight,type
생활용품,사업,46,undirected
생활용품,변화,19,undirected
생활용품,환경,19,undirected
생활용품,고객,18,undirected
생활용품,회사,18,undirected
생활용품,강화,17,undirected
생활용품,성과,15,undirected
생활용품,글로벌,15,undirected
생활용품,지속,14,undirected
생활용품,경쟁력,13,undirected
생활용품,화장품,13,undirected
생활용품,고도,13,undirected
생활용품,역량,12,undirected
생활용품,성장,12,undirected
생활용품,시장,12,undirected
생활용품,신뢰,11,undirected
생활용품,품질,11,undirected
생활용품,리더,11,undirected
생활용품,사람,10,undirected
생활용품,기업,9,undirected
생활용품,확보,9,undirected
생활용품,지금,9,undirected
생활용품,국내,9,undirected
생활용품,위기,8,undirected
생활용품,생각,8,undirected
생활용품,제조,7,undirected
생활용품,목표,7,undirected
생활용품,안전,7,undirected
생활용품,중국,7,undirected
생활용품,시작,7,undirected
