source,target,weight,type
유통,사업,83,undirected
유통,성장,75,undirected
유통,고객,67,undirected
유통,변화,48,undirected
유통,가치,37,undirected
유통,롯데,36,undirected
유통,기업,34,undirected
유통,지속,33,undirected
유통,경영,27,undirected
유통,혁신,26,undirected
유통,시장,23,undirected
유통,미래,23,undirected
유통,문화,22,undirected
유통,환경,22,undirected
유통,노력,21,undirected
유통,기존,20,undirected
유통,사회,20,undirected
유통,조직,20,undirected
유통,구조,20,undirected
유통,역량,19,undirected
유통,경쟁력,19,undirected
유통,기회,18,undirected
유통,창출,16,undirected
유통,분야,15,undirected
유통,전략,15,undirected
유통,도전,14,undirected
유통,강화,14,undirected
유통,경험,14,undirected
유통,필요,13,undirected
유통,방식,13,undirected
