source,target,weight,type
자동차,사업,30,undirected
자동차,미래,25,undirected
자동차,성장,23,undirected
자동차,강화,23,undirected
자동차,시장,22,undirected
자동차,혁신,20,undirected
자동차,확대,20,undirected
자동차,경영,19,undirected
자동차,고객,18,undirected
자동차,글로벌,17,undirected
자동차,경쟁력,15,undirected
자동차,기술,15,undirected
자동차,산업,14,undirected
자동차,안전,13,undirected
자동차,지속,13,undirected
자동차,환경,13,undirected
자동차,개발,12,undirected
자동차,추진,12,undirected
자동차,품질,12,undirected
자동차,변화,11,undirected
자동차,역량,11,undirected
자동차,적극,11,undirected
자동차,최선,11,undirected
자동차,가치,10,undirected
자동차,자동차,10,undirected
자동차,세계,9,undirected
자동차,협력,9,undirected
자동차,기업,9,undirected
자동차,판매,9,undirected
자동차,투자,8,undirected
