source,target,weight,type
정부기관,금융,354,undirected
정부기관,경제,162,undirected
정부기관,시장,92,undirected
정부기관,정책,84,undirected
정부기관,성장,67,undirected
정부기관,감독,66,undirected
정부기관,혁신,66,undirected
정부기관,안정,65,undirected
정부기관,변화,61,undirected
정부기관,강화,56,undirected
정부기관,상황,53,undirected
정부기관,업무,52,undirected
정부기관,기업,52,undirected
정부기관,통화,50,undirected
정부기관,노력,50,undirected
정부기관,확대,49,undirected
정부기관,산업,49,undirected
정부기관,지속,46,undirected
정부기관,지원,44,undirected
정부기관,필요,42,undirected
정부기관,리스크,41,undirected
정부기관,소비자,40,undirected
정부기관,회사,35,undirected
정부기관,환경,35,undirected
정부기관,추진,34,undirected
정부기관,위험,34,undirected
정부기관,요인,34,undirected
정부기관,시스템,33,undirected
정부기관,여건,33,undirected
정부기관,조직,32,undirected
