source,target,weight,type
정유업,사업,47,undirected
정유업,환경,36,undirected
정유업,혁신,36,undirected
정유업,성장,33,undirected
정유업,지속,31,undirected
정유업,변화,29,undirected
정유업,미래,24,undirected
정유업,가치,24,undirected
정유업,성과,24,undirected
정유업,회사,23,undirected
정유업,기업,23,undirected
정유업,창출,21,undirected
정유업,경쟁력,21,undirected
정유업,경영,21,undirected
정유업,실행,18,undirected
정유업,강화,17,undirected
정유업,추진,17,undirected
정유업,문화,16,undirected
정유업,확보,16,undirected
정유업,시장,16,undirected
정유업,글로벌,15,undirected
정유업,도전,14,undirected
정유업,적극,14,undirected
정유업,사회,14,undirected
정유업,총괄,13,undirected
정유업,방식,13,undirected
정유업,확장,13,undirected
정유업,계열,13,undirected
정유업,노력,13,undirected
정유업,에너지,13,undirected
