source,target,weight,type
중공업,회사,80,undirected
중공업,경영,77,undirected
중공업,기술,65,undirected
중공업,안전,56,undirected
중공업,경쟁력,52,undirected
중공업,확보,50,undirected
중공업,수주,39,undirected
중공업,위기,37,undirected
중공업,사업,37,undirected
중공업,노력,37,undirected
중공업,시장,36,undirected
중공업,생산,35,undirected
중공업,미래,35,undirected
중공업,원가,33,undirected
중공업,혁신,32,undirected
중공업,상황,32,undirected
중공업,환경,31,undirected
중공업,변화,30,undirected
중공업,조선,30,undirected
중공업,협력,28,undirected
중공업,목표,26,undirected
중공업,추진,26,undirected
중공업,기업,26,undirected
중공업,문화,26,undirected
중공업,세계,25,undirected
중공업,품질,25,undirected
중공업,극복,24,undirected
중공업,생존,23,undirected
중공업,개발,23,undirected
중공업,선박,22,undirected
