source,target,weight,type
통신,사업,54,undirected
통신,기업,48,undirected
통신,혁신,42,undirected
통신,고객,41,undirected
통신,변화,35,undirected
통신,문화,32,undirected
통신,성장,29,undirected
통신,서비스,26,undirected
통신,통신,25,undirected
통신,시장,24,undirected
통신,역량,24,undirected
통신,플랫폼,23,undirected
통신,글로벌,22,undirected
통신,회사,20,undirected
통신,조직,20,undirected
통신,기반,20,undirected
통신,LG유플러스,16,undirected
통신,미래,16,undirected
통신,성과,16,undirected
통신,산업,15,undirected
통신,기술,15,undirected
통신,방식,14,undirected
통신,주문,14,undirected
통신,시대,13,undirected
통신,주도,12,undirected
통신,성공,11,undirected
통신,디지털,11,undirected
통신,보안,11,undirected
통신,일등,11,undirected
통신,협력,11,undirected
