source,target,weight,type
항공업,고객,30,undirected
항공업,서비스,24,undirected
항공업,노력,22,undirected
항공업,안전,20,undirected
항공업,경영,20,undirected
항공업,대한민국,17,undirected
항공업,개선,17,undirected
항공업,운항,16,undirected
항공업,계획,16,undirected
항공업,강화,16,undirected
항공업,회사,15,undirected
항공업,수익,15,undirected
항공업,의미,14,undirected
항공업,생각,13,undirected
항공업,선수,13,undirected
항공업,도입,13,undirected
항공업,이야기,12,undirected
항공업,시작,11,undirected
항공업,항공,11,undirected
항공업,진심,11,undirected
항공업,항공사,11,undirected
항공업,확대,11,undirected
항공업,항공기,11,undirected
항공업,기회,11,undirected
항공업,경쟁력,11,undirected
항공업,코로나,10,undirected
항공업,사람,10,undirected
항공업,노선,10,undirected
항공업,역량,10,undirected
항공업,산업,10,undirected
