source,target,weight,type
화장품 제조업,고객,81,undirected
화장품 제조업,시장,41,undirected
화장품 제조업,글로벌,37,undirected
화장품 제조업,변화,31,undirected
화장품 제조업,중심,30,undirected
화장품 제조업,성장,29,undirected
화장품 제조업,화장품,27,undirected
화장품 제조업,혁신,26,undirected
화장품 제조업,회사,25,undirected
화장품 제조업,뷰티,25,undirected
화장품 제조업,세계,24,undirected
화장품 제조업,강화,23,undirected
화장품 제조업,경영,22,undirected
화장품 제조업,시대,22,undirected
화장품 제조업,브랜드,20,undirected
화장품 제조업,디지털,18,undirected
화장품 제조업,개발,18,undirected
화장품 제조업,생산,17,undirected
화장품 제조업,연구,16,undirected
화장품 제조업,기업,16,undirected
화장품 제조업,미국,15,undirected
화장품 제조업,기회,15,undirected
화장품 제조업,중국,15,undirected
화장품 제조업,세상,15,undirected
화장품 제조업,경험,15,undirected
화장품 제조업,전략,13,undirected
화장품 제조업,가치,13,undirected
화장품 제조업,사업,13,undirected
화장품 제조업,법인,12,undirected
화장품 제조업,기능,12,undirected
