source,target,weight,type
2019,금융,148,undirected
2019,사업,142,undirected
2019,고객,137,undirected
2019,성장,136,undirected
2019,혁신,123,undirected
2019,시장,104,undirected
2019,변화,101,undirected
2019,회사,97,undirected
2019,경영,89,undirected
2019,미래,87,undirected
2019,노력,79,undirected
2019,글로벌,76,undirected
2019,기업,73,undirected
2019,환경,70,undirected
2019,경제,66,undirected
2019,지속,66,undirected
2019,강화,62,undirected
2019,추진,51,undirected
2019,기술,51,undirected
2019,산업,50,undirected
2019,역량,50,undirected
2019,경쟁력,50,undirected
2019,은행,48,undirected
2019,업무,46,undirected
2019,세계,46,undirected
2019,중심,45,undirected
2019,목표,44,undirected
2019,디지털,44,undirected
2019,방식,44,undirected
2019,확보,43,undirected
